floor,espresso_roaster,espresso_left,espresso_right,drip_roaster,drip_left,drip_right
35,Fidalgo Coffee Roasters,Islands Espresso,Organic Decaf,Stumptown Coffee Roasters,House Blend,Trapper Creek Decaf
34,Cafe Vita,Theo Blend,Novacella Decaf,One Cup,Queen City,Decaf Republic of Cascadia
41,Cafe Umbria,Arco Etrusco,Mezzanotte Blend,Peet's,Major Dickason's Blend,Decaf House Blend
36,Zoka Coffee,Espresso Paladino,Decaf Espresso Paladino,Mukilteo Coffee Roasters,Happy Hippie,Mukilteo Decaf
37,Cafe Umbria,Arco Etrusco,Mezzanotte Blend,Starbucks,Pike Place Roast,Decaf Pike Place Roast
38,Fidalgo Coffee Roasters,Organic Centro,Organic Decaf,Seattle's Best Coffee,6th Avenue Bistro,Decaf Portside Blend
39,Victrola Coffee Roasters,Empire Blend,Deco Decaf,callie's,House Blend,Decaf
40,Fidalgo Coffee Roasters,Islands Espresso,Organic Decaf,Stumptown Coffee Roasters,Holler Mountain Organic,Trapper Creek Decaf
42,Cafe Vita,Theo Blend,Novacella Decaf,One Cup,Queen City,Decaf Republic of Cascadia
43,Fidalgo Coffee Roasters,Organic Espresso,Organic Decaf,Peet's,House Blend,Decaf House Blend
45,Fidalgo Coffee Roasters,Organic Espresso,Organic Decaf,Stumptown Coffee Roasters,Holler Mountain Organic,Trapper Creek Decaf
24,Fidalgo Coffee Roasters,Islands Espresso,Organic Decaf,Stumptown Coffee Roasters,Holler Mountain Organic,Trapper Creek Decaf
25,Cafe Vita,Theo Blend,Novacella Decaf,One Cup,Queen City,Decaf Republic of Cascadia
26,Cafe Umbria,Arco Etrusco,Mezzanotte Blend,Starbucks,Pike Place Roast,Decaf Pike Place Roast
27,Fidalgo Coffee Roasters,Organic Centro,Organic Decaf,Seattle's Best Coffee,Signature Blend No 4,Decaf Portside Blend
28,Zoka Coffee,Espresso Paladino,Decaf Espresso Paladino,Mukilteo Coffee Roasters,Happy Hippie,Mukilteo Decaf
29,Fidalgo Coffee Roasters,Islands Espresso,Organic Decaf,Stumptown Coffee Roasters,Holler Mountain Organic,Trapper Creek Decaf
30,Cafe Umbria,Arco Etrusco,Mezzanotte Blend,Peet's,Major Dickason's Blend,Decaf House Blend
31,Victrola Coffee Roasters,Empire Blend,Deco Decaf,callie's,House Blend,Decaf
32,Fidalgo Coffee Roasters,Organic Centro,Organic Decaf,Seattle's Best Coffee,Signature Blend No 4,Decaf Portside Blend
46,Zoka Coffee,Espresso Paladino,Decaf Espresso Paladino,Mukilteo Coffee Roasters,Happy Hippie,Mukilteo Decaf
47,Cafe Vita,Theo Blend,Novacella Decaf,callie's,House Blend,Decaf
